HRR Name,State,Overall - Number of Medicare beneficiaries with diabetes and PAD,Black - Number of Medicare beneficiaries with diabetes and PAD,Non-black - Number of Medicare beneficiaries with diabetes and PAD,"Overall - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD",Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing
Birmingham,AL,141039,26044,114995,2.67,5.86,2.28,16.19,22.73,15.32,4.25,6.31,3.89,80.2163782709291,74.8578119772499,81.5128090978995,83.7944406426174,81.4821010371362,84.3538791533449
Dothan,AL,30100,5886,24214,3.09,8.64,2.2,15.93,24.38,14.59,3.35,3.58,3.39,79.6997755331089,76.6463000678887,80.4951370468612,84.4416386083053,84.3856076035302,84.4562334217507
Huntsville,AL,41051,5222,35829,2.89,7.54,2.27,14.67,18.6,14.18,3.31,3.59,3.29,79.9367422245651,72.7988546886185,81.1696340257171,85.1344227727992,80.2433786685755,85.9792284866469
Mobile,AL,43842,9806,34036,3.42,8.78,2.6,21.38,27.17,21.04,7.68,13.52,6.34,76.1267810410003,70.9962168978562,77.6643990929705,80.3237375205971,79.5292139554435,80.5618543713782
Montgomery,AL,25361,8657,16704,2.61,6.98,1.69,8.55,13.25,7.46,4.68,6.32,4.29,77.9782103947133,73.7588652482269,80.2758620689655,82.8005000893017,81.5602836879433,83.4758620689655
Tuscaloosa,AL,16920,5267,11653,3.93,9.83,2.94,22.07,23.69,24.12,5.82,6.75,5.86,82.8725038402458,80.9454545454545,83.9193994468589,84.3061955965182,84.8,84.0379296720664
Anchorage,AK,18541,734,17807,2.27,,,11.46,,,2.78,,,65.9992147624656,58.7301587301587,66.2793068297655,69.8076168040832,64.5502645502645,70.0101936799185
Mesa,AZ,39750,1266,38484,1.52,,,18.32,22.35,17.47,3.85,,,82.4311023622047,79.6825396825397,82.5419173172917,83.0831692913386,83.4920634920635,83.0666837322411
Phoenix,AZ,111852,3393,108459,2.02,3.34,1.71,17,29.3,15.93,3.53,4.58,3.4,73.9404329970894,78.7765293383271,73.7808896210873,76.2529404728679,78.6516853932584,76.173805601318
Sun City,AZ,24450,575,23875,1.88,,,14.27,,,3.31,,,82.9497649096758,82.1782178217822,82.9695431472081,84.4345459044791,86.1386138613861,84.3908629441624
Tucson,AZ,40429,1258,39171,2.67,,,13.1,14.45,12.54,5.11,,,75.5252697331062,61.4457831325301,76.0769503127582,78.6825667234526,68.6746987951807,79.0747078956686
Fort Smith,AR,21493,505,20988,4.88,,,9.91,,,3.15,,,67.4630261660978,61.2068965517241,67.6037223730128,75.350777398559,82.7586206896552,75.1841799146956
Jonesboro,AR,14541,306,14235,2.86,,,15.34,,,3.11,,,76.7454350161117,64.2857142857143,77.032967032967,83.9151450053706,79.7619047619048,84.010989010989
Little Rock,AR,90541,13395,77146,3.46,8.73,2.74,19.81,28.12,18.7,4.46,6.86,4.1,75.620991780327,68.7480775146109,76.8037689905246,82.5038388582784,81.3903414334051,82.6954634482028
Springdale,AR,21498,95,21403,3.04,,,15.2,,,3.35,,,75.6649214659686,,,80.8167539267016,81.25,80.8152973313721
Texarkana,AR,17819,3168,14651,3.88,11.59,2.65,11.62,13.85,11.52,4.86,5.92,4.73,78.0505074345055,72.9303547963206,79.1714614499425,81.8739674297852,81.6031537450723,81.9332566168009
Orange County,CA,107926,1732,106194,1.36,,,7.53,14.63,7.07,2.53,,,84.8660038902096,76.123595505618,85.0374614367563,82.8236438296953,78.6516853932584,82.9054649625386
Bakersfield,CA,44038,1537,42501,3.08,,,20.42,30.02,19.28,4.02,7.54,3.79,80.1513970833797,76.8729641693811,80.2674043337944,79.0493153734832,73.9413680781759,79.2300599354541
Chico,CA,21337,304,21033,1.6,,,13.88,,,4.97,,,78.3370288248337,71.4285714285714,78.4238886394252,77.8713968957871,78.5714285714286,77.8625954198473
Contra Costa County,CA,25035,1937,23098,1.9,,,14.17,19.37,13.46,3.48,,,77.7844671884407,66.3201663201663,79.009329187028,79.6307445314068,67.5675675675676,80.9195912927588
Fresno,CA,51920,2829,49091,2.48,6.31,2.01,12.09,15.17,11.55,3.52,4.57,3.4,78.8647810925998,76.0511882998172,79.0221949473253,81.3250678031771,76.599634369287,81.5894446149126
Los Angeles,CA,381344,37056,344288,1.65,4.52,1.29,10.8,20.98,9.59,2.94,5.41,2.65,80.2805512005941,72.1141781681305,81.240893413748,78.9933162802211,71.8005018820577,79.8391707703941
Modesto,CA,39114,1489,37625,2,,,20.2,20.31,19.45,5.23,7.66,5.01,79.4572271386431,74.9206349206349,79.6323529411765,82.5604719764012,83.8095238095238,82.5122549019608
Napa,CA,11797,187,11610,2.1,,,24.07,,,5.49,,,77.8210116731518,86.7924528301887,77.6496034607066,81.9243013795543,86.7924528301887,81.831290555155
Alameda County,CA,38909,6491,32418,2.28,6.14,1.71,11.65,10.59,12.2,3.93,8.09,3.15,77.7807273692594,66.7632150615496,80.2535348610434,77.9665516325989,70.0217233888487,79.7497155858931
Palm Springs/Rancho Mirage,CA,16976,400,16576,2.54,,,10.57,,,3.96,,,82.4224992010227,68.1818181818182,82.8345938835909,79.6100990731863,71.5909090909091,79.8421571851365
Redding,CA,20728,163,20565,1.27,,,20.87,,,4.6,,,78.1338742393509,76.4705882352941,78.1454248366013,82.6977687626775,88.2352941176471,82.6593137254902
Sacramento,CA,81816,4875,76941,1.84,4.74,1.49,10.99,16.07,10.36,4.43,6.67,4.21,79.5984180103438,73.0282375851996,80.0363447559709,81.028293276544,76.3388510223953,81.3408618899273
Salinas,CA,22073,1206,20867,3.77,,,10.2,15.46,9.59,4.22,,,83.7620958225159,72.8643216080402,84.2991579990094,82.3223979230588,74.8743718592965,82.6894502228826
San Bernardino,CA,68378,6989,61389,1.86,2.99,1.69,11.11,12.07,10.92,3.31,3.6,3.26,78.2581100141044,74.619960343688,78.6926659824741,76.8758815232722,73.8268341044283,77.2400726296677
San Diego,CA,113518,5648,107870,1.99,2.09,1.78,16.3,23.08,15.42,4.49,6.75,4.28,80.9747274771472,72.7111111111111,81.455617628802,82.3287872122012,75.4666666666667,82.7281191806331
San Francisco,CA,42399,5070,37329,2.22,5.94,1.72,8.82,10.98,8.54,4.39,7.61,3.94,75.6802721088435,64.1747572815534,77.4720290293317,79.8534798534799,74.0776699029126,80.7529482915029
San Jose,CA,53107,1186,51921,1.78,,,11.66,15.23,11.07,2.99,,,75.6171702284451,64.6428571428572,75.9077155824508,85.280029476787,85,85.2874432677761
San Luis Obispo,CA,12532,113,12419,1.41,,,7.39,,,4.71,,,82.1065473769825,88.4615384615385,82.0386354295109,85.3599023993493,84.6153846153846,85.3678586107686
San Mateo County,CA,19700,895,18805,2.08,,,18.87,22.08,18.08,4.28,,,82.0834469593673,75.6906077348066,82.4153757888698,83.7196618489228,82.8729281767956,83.7636259323006
Santa Barbara,CA,19362,626,18736,2.64,,,10.64,,,3.76,,,83.3648393194707,80.5970149253731,83.4687587559541,86.6594652984067,84.3283582089552,86.7469879518072
Santa Cruz,CA,10270,125,10145,3.36,,,13.97,,,2.35,,,80.6812652068126,84.375,80.6228373702422,82.8710462287105,87.5,82.7978250123579
Santa Rosa,CA,13687,194,13493,2.91,,,15.21,,,5.28,,,77.4068322981366,65,77.602523659306,80.0077639751553,75,80.0867507886435
Stockton,CA,20751,1862,18889,1.5,,,17.04,22.45,16.27,4.57,,,81.86327366832,78.3641160949868,82.1747299201503,81.9711020056071,79.6833773087071,82.1747299201503
Ventura,CA,35102,880,34222,1.94,,,16.46,18.72,15.7,5.21,,,79.8152837777447,71.0526315789474,80.0705196995248,82.4370624162074,77.3684210526316,82.584700291277
Boulder,CO,5764,56,5708,2.7,,,5.36,,,,,,80.5993690851735,81.25,80.591054313099,83.6750788643533,81.25,83.7060702875399
Colorado Springs,CO,28373,1541,26832,2.48,,,8.15,11.63,7.7,4.32,,,70.7260675196547,59.1780821917808,71.4145704018295,77.0309850470171,68.2191780821918,77.5563541326364
Denver,CO,55321,3507,51814,2.45,4.7,2.09,9.67,14.52,9.1,3.33,4.64,3.18,76.4770985867529,68.1481481481482,77.0940014630578,81.7895453771497,75.4320987654321,82.2604242867593
Fort Collins,CO,10859,126,10733,1.33,,,15.35,,,3.18,,,75.3678015973098,62.962962962963,75.5102040816327,82.3455233291299,81.4814814814815,82.3554421768708
Grand Junction,CO,7540,12,7528,2.91,,,8.4,,,4.25,,,71.2448323380799,,,85.3927423059256,,
Greeley,CO,13204,27,13177,3.19,,,11.64,,,3.12,,,74.0604026845638,,,83.7248322147651,,
Pueblo,CO,9354,157,9197,2,,,7.02,,,2.62,,,74.1755454084221,75.6756756756757,74.1468459152017,83.3587011669203,86.4864864864865,83.2988624612203
Bridgeport,CT,33657,4616,29041,2.28,6.83,1.64,18.5,31.51,16.62,7,10.4,6.5,81.7518248175183,73.8461538461539,83.6625610039507,81.414935429534,78.1730769230769,82.1984661863816
