State Number,State Name,Medicare enrollees (2001),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2001),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2001)
1,Alabama             ,550297,5.80048565221257,5.90432425650832
2,Alaska              ,35330,5.42280791354772,5.4872268531463
3,Arizona             ,597461,5.02478230203451,5.08801887142272
4,Arkansas            ,354788,5.67706345288804,5.77958766012518
5,California          ,3298711,4.91222578124435,5.2352593276062
6,Colorado            ,400240,5.10403907617016,5.35703692639361
7,Connecticut         ,450891,4.91055065004334,5.20390311364945
8,Delaware            ,97822,5.450258651073,5.52199053974518
9,District of Columbia,60089,4.93165753162936,5.00372137367694
10,Florida             ,2497517,4.95520847255712,5.15745805848702
11,Georgia             ,747498,5.79760718346976,5.84982382675908
12,Hawaii              ,150630,4.01924358163516,4.37257410750487
13,Idaho               ,145830,4.92202166175949,5.11617084023082
14,Illinois            ,1403190,5.241491420747,5.37236546623914
15,Indiana             ,730436,5.60910608247832,5.70684827522864
16,Iowa                ,421505,4.89790019325147,4.96205857587991
17,Kansas              ,341214,5.19024212144663,5.29672414946564
18,Kentucky            ,482619,6.02446253161274,6.11498985707333
19,Louisiana           ,481156,5.77915105522424,6.04594024291384
20,Maine               ,178861,5.40285097480088,5.47728587835285
21,Maryland            ,566487,5.29061535051285,5.26140227531122
22,Massachusetts       ,813419,5.16984234805561,5.43575859066573
23,Michigan            ,1192291,5.33124041829964,5.41971952648975
24,Minnesota           ,579236,4.8189717186405,4.84650213310705
25,Mississippi         ,325492,5.81506314886679,5.88718579576746
26,Missouri            ,725894,5.52656954963727,5.81102417080712
27,Montana             ,118694,5.16400867964781,5.23302543762439
28,Nebraska            ,224695,4.9573885209836,5.03575059057589
29,Nevada              ,218174,5.69306769130508,5.80965655266444
30,New Hampshire       ,146611,5.20298340361832,5.27089431644542
31,New Jersey          ,1042176,5.19545606449831,5.3844518808795
32,New Mexico          ,198060,5.099934709367,5.36786449239342
33,New York            ,2195840,4.96280710464437,5.25098961418543
34,North Carolina      ,944064,5.51879669770407,5.64442651997574
35,North Dakota        ,91231,4.7531518973215,4.81612990080627
36,Ohio                ,1451771,5.58826965313306,5.84254517026741
37,Oklahoma            ,433969,5.88196081564809,6.08398806270874
38,Oregon              ,427925,5.16977536059553,5.50644457586824
39,Pennsylvania        ,1834534,5.35394426722924,5.66026260194833
41,Rhode Island        ,143556,5.08622037357504,5.68986943145824
42,South Carolina      ,463746,5.48322467428309,5.52399378325194
43,South Dakota        ,105620,4.68644882565309,4.76725432319628
44,Tennessee           ,680337,5.87409439090595,6.05353193785311
45,Texas               ,1977268,5.59413773008293,5.80805291682417
46,Utah                ,183652,4.93562808925651,5.03601174774803
47,Vermont             ,75412,5.32067571825217,5.38398641926704
49,Virginia            ,758195,5.34579368469694,5.40151486460519
50,Washington          ,638276,5.0938921399662,5.37757030255986
51,West Virginia       ,266650,6.05062616375952,6.11048127844207
52,Wisconsin           ,688731,5.0424858076778,5.16204856177041
53,Wyoming             ,57212,5.25639933018561,5.31507429212208
99,United States       ,32995303,5.27181096048732,5.48206981212619
