HSA Number,HSA Name,Medicare enrollees (2009),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2009),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2009)
49001,VA-Abingdon,9379,4.71658470805462,5.05411347153327
49002,VA-Alexandria,27601,4.14478319269746,4.2034490166974
49003,VA-Arlington,20171,3.81084795347931,3.84144763558498
49004,VA-Bedford,4325,4.85958900664683,5.20145746993987
49005,VA-Big Stone Gap,2135,7.0926067934531,7.77507397662394
49006,VA-Blacksburg,7593,4.73083695835348,4.94987926517284
49007,VA-Charlottesville,32417,4.50527441077507,4.58981592621693
49008,VA-Chesapeake,16036,4.67405549201484,4.84240720502414
49009,VA-Clintwood,2158,5.66641219864305,5.27824322640964
49010,VA-Culpeper,5456,4.70615699844828,4.79115699948711
49011,VA-Danville,17573,5.07371960082628,5.16861813021151
49012,VA-Emporia,4471,5.32338024746361,5.28002994824913
49013,VA-Fairfax,8411,3.92027773526526,3.93739669987004
49014,VA-Falls Church,59653,3.63129048703739,3.65968591147902
49015,VA-Farmville,4800,5.02790026682559,5.38512439735593
49016,VA-Franklin,3876,4.51735226001497,4.68780951763623
49017,VA-Fredericksburg,28830,4.8080973592279,4.8654551260484
49018,VA-Front Royal,4160,5.45879592398083,5.45377789381767
49019,VA-Galax,8519,5.02733941899484,5.09079260632694
49020,VA-Gloucester,8367,5.07803984438816,5.16732700918288
49021,VA-Grundy,3203,6.42361607740482,7.18232520983954
49022,VA-Hampton,9926,4.94951817223556,5.07688455531096
49023,VA-Harrisonburg,19406,4.40906396559,4.57090698539743
49024,VA-Hopewell,5010,5.13243627659168,5.13356770092911
49025,VA-Hot Springs,1102,4.3532848114391,4.41808517778277
49026,VA-Kilmarnock,8828,4.47163499811648,4.6223372572036
49027,VA-Lebanon,4504,6.11760722091976,5.98685337938303
49028,VA-Leesburg,12645,3.85995133447312,4.01480210854544
49029,VA-Lexington,5733,4.250293024447,4.43974921142179
49030,VA-Low Moor,4719,5.50762000669692,5.54678632748053
49031,VA-Luray,3278,5.50322920645655,5.67410762817599
49032,VA-Lynchburg,34717,4.46617585663414,4.60274355639155
49033,VA-Manassas,14868,4.16936718887541,4.20219850077705
49034,VA-Marion,5884,5.84481568424647,6.05123006540751
49035,VA-Martinsville,13551,5.10138899974936,5.48877411926844
49036,VA-Nassawadox,6413,5.71220388212842,6.02284139677998
49037,VA-Newport News,36721,4.75995847105095,4.95046627888206
49038,VA-Norfolk,34468,4.99806856326016,5.02472716682695
49039,VA-Norton,4439,5.88609058085293,6.35207149531367
49040,VA-Pearisburg,3519,4.88064536569797,4.72022307003021
49041,VA-Pennington Gap,2788,5.75809125971702,5.82411470430381
49042,VA-Petersburg,15637,4.64771279278492,4.6930686066425
49043,VA-Portsmouth,21589,4.75216766693461,4.84667714505789
49044,VA-Pulaski,3261,5.77963965168981,5.97204477449294
49045,VA-Radford,5465,4.64855902312933,4.72200082217829
49046,VA-Reston,16318,4.13810604576946,4.24757470615077
49047,VA-Richlands,4379,6.08533838556125,6.03818727746817
49048,VA-Richmond,123235,4.54261229465133,4.70373399718397
49049,VA-Roanoke,40829,4.6342295175395,4.63697607230496
49050,VA-Rocky Mount,4325,5.96038798985224,6.5078198073622
49051,VA-Salem,8763,4.88717999026196,4.9996143712169
49052,VA-South Boston,10367,5.3018929366387,5.43033517592172
49053,VA-South Hill,5602,5.26277143719702,5.51293865407938
49054,VA-Staunton,18836,4.73513336090172,4.89251228880781
49055,VA-Stuart,3026,4.99178857708047,5.09861735169653
49056,VA-Suffolk,9932,5.25486820410537,5.23674280024426
49057,VA-Tappahannock,4495,4.51795083356608,4.78694569181606
49058,VA-Tazewell,2207,6.49678986063484,6.81081265102906
49059,VA-Virginia Beach,31075,4.4649919468983,4.5789698298804
49060,VA-Warrenton,9022,4.85702499421563,4.9333096481205
49062,VA-Williamsburg,17113,3.34727106693587,3.4423296227377
49063,VA-Winchester,19987,4.75029316542413,4.9442047462878
49065,VA-Woodbridge,12319,4.34491190024764,4.42805882349278
49066,VA-Woodstock,4654,4.77167166055579,5.05587538128665
49067,VA-Wytheville,5801,5.4339199980853,5.57483101898234
