State Number,State Name,Medicare enrollees (2009),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2009),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2009)
1,Alabama,620510,5.36433681409935,5.57057842800829
2,Alaska,50635,4.90953740295405,4.96356549262107
3,Arizona,756646,4.35130126719132,4.32625327129929
4,Arkansas,394550,5.22362760040342,5.39026880396779
5,California,3935280,3.96793796449145,4.05120975111538
6,Colorado,511064,4.2764688780028,4.36419021600398
7,Connecticut,477986,4.22856224052587,4.46358491379164
8,Delaware,120065,4.67766520349542,4.72215977912766
9,District of Columbia,62294,3.90334211352122,3.87849701165078
10,Florida,2824466,4.29279562365131,4.60707645094647
11,Georgia,950815,5.03010536999936,5.13975028330982
12,Hawaii,177300,3.79695087148378,4.06537975114939
13,Idaho,185011,4.48424035279353,4.83779435191421
14,Illinois,1526360,4.50791499828669,4.62541306736003
15,Indiana,806642,4.95245787189936,5.19077538412589
16,Iowa,438632,4.51261539004713,4.72029810260346
17,Kansas,358505,4.5922590003582,4.76121130370773
18,Kentucky,550997,5.34748580751728,5.58582429104271
19,Louisiana,516879,5.16351582962177,5.55434147916812
20,Maine,202955,4.74136862457652,4.92232632177248
21,Maryland,650191,4.48649622930963,4.48530441864183
22,Massachusetts,851085,4.33389303334199,4.44368350777973
23,Michigan,1309861,4.67021084742522,5.03343385619514
24,Minnesota,654517,4.16234798957248,4.02302990455937
25,Mississippi,360097,5.3100230451039,5.48811002459685
26,Missouri,792211,4.88067325209325,5.18439038314701
27,Montana,138954,4.55113818022892,4.84837204823041
28,Nebraska,235695,4.43351585968737,4.59879326287436
29,Nevada,290824,4.99811676494282,5.0402509399902
30,New Hampshire,172442,4.44940843309749,4.57061807877599
31,New Jersey,1121069,4.30584671653475,4.44332507850857
32,New Mexico,246005,4.42783467170736,4.64736027778454
33,New York,2432633,4.2275885611535,4.4708989113279
34,North Carolina,1146946,4.89872027966367,5.07036451182165
35,North Dakota,93162,4.35278298313421,4.46288474880548
36,Ohio,1555791,4.8303201519036,5.10385245965217
37,Oklahoma,476320,5.29683149253216,5.50459260429831
38,Oregon,508841,4.50072273871649,4.70150226990551
39,Pennsylvania,1881737,4.68969741994559,5.0460901474171
41,Rhode Island,146257,4.36988957634354,4.52192097939993
42,South Carolina,588898,4.86096778110152,4.97278825353555
43,South Dakota,116279,4.21886768178115,4.36312342275028
44,Tennessee,805232,5.22416866227733,5.51072770169751
45,Texas,2398115,4.81052844329598,5.06618350151209
46,Utah,233204,4.25361132143881,4.62517566143482
47,Vermont,87891,4.32307763511025,4.41832511158358
49,Virginia,914358,4.61540907724875,4.71908157789738
50,Washington,785335,4.44916354410507,4.71105591732743
51,West Virginia,280650,5.63908665193693,5.89929011545384
52,Wisconsin,752831,4.39258222190255,4.85250175302919
53,Wyoming,66569,4.74969764472801,4.84826794061027
99,United States,37561592,4.55728021325614,4.78566083147371
