HSA #,HSA City,State,Resident Population (1996),"Acute Care Hospital Beds per 1,000 Residents (1996)","Hospital-based Registered Nurses per 1,000 Residents (1996)","FTE Hospital Employees per 1,000 Residents (1996)","Total Physicians per 100,000 Residents (1996)","Primary Care Physicians per 100,000 Residents (1996)","Total Specialists per 100,000 Residents (1996)","Allergists/ Immunologists per 100,000 Residents (1996)","Anesthesiologists per 100,000 Residents (1996)","Cardiologists per 100,000 Residents (1996)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (1996)","Critical Care Physicians per 100,000 Residents (1996)","Dermatologists per 100,000 Residents (1996)","Emergency Medicine Physicians per 100,000 Residents (1996)","Endocrinologists per 100,000 Residents (1996)","Family Practice Physicians per 100,000 Residents (1996)","General Surgeons per 100,000 Residents (1996)","Gastroenterologists per 100,000 Residents (1996)","Hematologists/ Oncologists per 100,000 Residents (1996)","Infectious Disease Specialists per 100,000 Residents (1996)","Internal Medicine Physicians per 100,000 Residents (1996)","Neonatologists per 100,000 Residents (1996)","Nephrologists per 100,000 Residents (1996)","Neurosurgeons per 100,000 Residents (1996)","Neurologists per 100,000 Residents (1996)","Obstetrician/ Gynecologists per 100,000 Residents (1996)","Ophthalmologists per 100,000 Residents (1996)","Orthopedic Surgeons per 100,000 Residents (1996)","Otolaryngologists per 100,000 Residents (1996)","Pathologists per 100,000 Residents (1996)","Pediatricians per 100,000 Residents (1996)","Plastic & Reconstructive Surgeons per 100,000 Residents (1996)","Psychiatrists per 100,000 Residents (1996)","Pulmonologists per 100,000 Residents (1996)","Radiologists per 100,000 Residents (1996)","Radiation Oncologists per 100,000 Residents (1996)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (1996)","Rheumatologists per 100,000 Residents (1996)","Urologists per 100,000 Residents (1996)","Vascular Surgeons per 100,000 Residents (1996)"
1001,Alabaster,AL,87908,3.429,3.3208,11.9503,113.3434942301,38.8928936848,73.7880066732,0.307066916,6.3850521921,4.6658762984,1.6049155267,0.10213,0.8283597516,2.1315606462,0.4284277727,20.0972105126,5.5245288864,2.2011145332,0.8192658225,0.4443587118,14.7509102512,0.3479840747,0.5400404191,1.2611907177,3.3203346728,8.2006153377,2.9627730748,3.7982359805,3.3140617659,2.39538,4.195152725,2.1470956605,3.3103872753,1.0093984381,3.75454,1.4843445945,0.4839051894,0.4906202495,3.025302756,0.1170283559
1002,Alexander City,AL,24463,3.2225,3.7962,16.0302,147.5764638571,49.714468724,97.0732188579,0.2045532999,4.0789500698,4.0466136038,2.2360792741,0.04193,3.2802993396,2.1879430619,0.1923477679,22.2964822617,14.4899243936,3.3441940335,0.4398532517,0.2481005163,15.257606016,0.2648955945,0.5484223679,0.9122715995,0.875385332,14.658912132,7.4918824611,6.4039589683,1.5190978483,4.58343,12.4892337541,1.0118757703,3.2170927229,0.9663813518,5.58605,0.336550556,0.7342976251,2.7306422268,4.4968481483,0.4301760675
1003,Andalusia,AL,24388,5.4101,4.7086,15.121,177.7918789924,75.224021792,101.3323020604,0.4713095897,6.906206186,1.9450007047,1.2487841292,0.07128,0.8931125669,6.1807755071,0.2430800162,41.0229613433,16.0622331561,1.0840762059,0.5936845546,0.2574714179,22.8172924589,0.3764402987,0.5764145799,1.0554549034,1.0846425994,20.6874746076,4.1611269054,5.6857219589,5.8244050258,3.01831,11.5424237542,1.273873539,3.0765007174,0.7767624201,8.58211,0.5010468941,0.4613439568,0.3995864675,5.2038868976,0.2097553006
1004,Anniston,AL,98147,4.0174,5.2779,17.4352,162.5150740048,52.383039967,109.2775640587,1.6604559776,5.3861873137,6.4742230815,2.0956137637,1.55711,1.1635659592,6.6273387654,0.1609689362,23.954649175,11.3002272145,2.7843266029,1.8049562472,0.8971398579,16.4637188822,0.1345991635,1.7559907321,0.7444981571,2.9634119584,10.394741702,3.8167674874,8.4230463456,3.1776800865,3.66654,12.0483534567,1.4207327755,6.1957967645,1.1661065209,8.95263,0.9504724146,1.0476418202,0.9156903529,5.0823424839,0.0795022374
1006,Ashland,AL,10881,4.9076,4.6713,20.0757,164.4345683934,56.76875931,106.7936590696,0.7658621993,7.5358386368,8.4764208968,1.9880908216,0.72146,1.04717841,4.4885654033,0.3793678721,37.4128592187,10.4368049595,1.5671526749,1.0216912281,0.4975728451,11.3881817777,0.3911054333,0.788783235,1.3986592221,1.9899256449,14.565112844,4.4382473614,8.4869525395,3.9231926337,3.52108,8.6995502751,2.0190008639,4.9542165482,1.0345960672,6.86063,0.5466618931,0.9279753936,0.6025893526,4.7190342527,0.1038825243
1007,Athens,AL,50457,3.1784,2.8522,13.6318,135.7255794227,52.2353296824,82.5295212669,0.3997931068,8.2873013892,1.3207249855,1.0244055224,0.12811,2.6801523925,4.3283435489,0.16179036,30.3593696662,7.6208159312,1.0613378174,0.6357619891,0.2956350809,12.758647205,0.3262263801,0.7417671159,1.1012744592,0.8146785857,14.7467016157,3.6569927654,5.135067581,5.460241677,1.52045,9.0399070207,1.1429276615,2.5556313824,0.7318225105,5.96529,0.4907608823,0.1704147286,0.4481366861,3.6105678615,0.3903668049
1008,Atmore,AL,15920,5.1976,4.2015,17.6845,149.1531247278,42.0785373412,106.6027612548,0.7187181872,8.1430949963,3.1844998573,1.0982251975,0.20973,1.6107670339,2.6127115262,0.3711504558,25.3017719197,17.5098084018,2.1021803241,1.0608801583,0.5219363872,11.1048612673,0.4271225919,0.9439165964,1.359607961,2.1005173141,16.3063141902,4.5219080996,5.9160427377,3.0495463555,3.46397,5.7416054453,1.2847104675,9.5456741448,1.499312132,6.67609,0.8338631789,0.5128087549,0.7825477363,2.3008886008,0.4409439117
1010,Bessemer,AL,89240,4.0512,3.7794,16.628,170.6189630843,61.635303577,108.0563597937,0.6793538306,8.3468603373,5.2026237973,1.7225123121,0.2197,2.5726079993,4.7602325754,0.8904248308,24.0401747936,9.593867772,2.4871886767,1.655208886,0.9434483672,27.1374944446,0.7842710532,1.0356304406,1.7507149945,3.1049450615,10.0921255236,4.2507621688,6.6401309338,5.7693020181,4.53447,10.181786004,1.7793756662,7.6588122425,2.0899704682,8.74423,0.9470676348,0.9228014582,0.9893339648,2.5283427698,0.0650360224
1011,Birmingham,AL,786636,3.8208,3.9721,15.9083,167.6252628898,56.5980388235,110.1028520076,0.8563403392,8.5280998995,7.3278621867,1.2835751289,0.26406,2.368840278,4.89903096,1.1724335567,16.7739869837,6.1938463168,3.3480452196,2.2738252057,1.0107490591,26.5167863677,0.9842939204,1.4207412332,1.9175887096,4.0304393819,8.6983718801,4.2038506055,5.6298743128,3.7147085053,5.62429,13.3343847479,1.9425337466,9.3882492979,2.8478386077,8.69869,1.2909581384,1.1163501912,1.3501575927,3.0558234564,0.0804280655
1012,Boaz,AL,60459,3.3396,3.854,14.8439,136.4579949287,52.6392630326,82.929385898,0.2489751113,6.7928285708,3.8448889156,1.5179491414,0.10153,0.7724685432,7.9933212416,0.2370366216,34.251501185,9.599622612,3.5675012875,0.5832274994,0.221399109,9.8610827909,0.279164585,0.5636703868,1.2962361938,1.1672099406,12.2035617666,2.942078581,4.9816915302,2.4863196655,3.44526,8.8633749568,1.0316342055,3.0335843022,0.8037500246,5.18019,0.3922058999,0.3312388067,0.2939871667,1.9847913241,0.257328573
