HRR #,HRR City,State,Resident Population (1996),"Acute Care Hospital Beds per 1,000 Residents (1996)","Hospital-based Registered Nurses per 1,000 Residents (1996)","FTE Hospital Employees per 1,000 Residents (1996)","Total Physicians per 100,000 Residents (1996)","Primary Care Physicians per 100,000 Residents (1996)","Total Specialists per 100,000 Residents (1996)","Allergists/ Immunologists per 100,000 Residents (1996)","Anesthesiologists per 100,000 Residents (1996)","Cardiologists per 100,000 Residents (1996)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (1996)","Critical Care Physicians per 100,000 Residents (1996)","Dermatologists per 100,000 Residents (1996)","Emergency Medicine Physicians per 100,000 Residents (1996)","Endocrinologists per 100,000 Residents (1996)","Family Practice Physicians per 100,000 Residents (1996)","General Surgeons per 100,000 Residents (1996)","Gastroenterologists per 100,000 Residents (1996)","Hematologists/ Oncologists per 100,000 Residents (1996)","Infectious Disease Specialists per 100,000 Residents (1996)","Internal Medicine Physicians per 100,000 Residents (1996)","Neonatologists per 100,000 Residents (1996)","Nephrologists per 100,000 Residents (1996)","Neurosurgeons per 100,000 Residents (1996)","Neurologists per 100,000 Residents (1996)","Obstetrician/ Gynecologists per 100,000 Residents (1996)","Ophthalmologists per 100,000 Residents (1996)","Orthopedic Surgeons per 100,000 Residents (1996)","Otolaryngologists per 100,000 Residents (1996)","Pathologists per 100,000 Residents (1996)","Pediatricians per 100,000 Residents (1996)","Plastic & Reconstructive Surgeons per 100,000 Residents (1996)","Psychiatrists per 100,000 Residents (1996)","Pulmonologists per 100,000 Residents (1996)","Radiologists per 100,000 Residents (1996)","Radiation Oncologists per 100,000 Residents (1996)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (1996)","Rheumatologists per 100,000 Residents (1996)","Urologists per 100,000 Residents (1996)","Vascular Surgeons per 100,000 Residents (1996)"
1,Birmingham,AL,2113094,4.03304,4.05164,15.80504,157.5341609673,54.8775230273,101.7605689901,0.6148252936,8.0680904654,5.509427389,1.5945478458,0.29232,1.7847312346,4.9728034622,0.7774146833,22.5222671469,8.3826917318,2.5381297413,1.5404024045,0.6853826798,21.4270659138,0.5514763917,1.2346300504,1.5318067373,2.8142684614,10.2702917967,4.4394342458,6.2940418703,3.5655927059,4.2497,10.9124537958,1.6739155943,6.9621409702,1.9822103843,7.32357,0.9844253598,0.964967931,0.8118803456,3.4232440255,0.2513599937
2,Dothan,AL,342388,3.89356,3.5012,14.55402,145.6131894376,53.0231180812,91.622049515,0.677584681,7.569546396,4.1159484149,0.992693394,0.2787,1.5695558756,6.054847683,0.3323745977,31.241536684,9.1245302041,2.1001389431,0.9430098824,0.3154539072,14.632527141,0.0789573472,1.1809485884,0.5675014384,1.9364970103,10.8634188706,5.2491744015,6.5481785278,3.1687445205,4.33528,7.2304243661,1.6201848251,3.9727811854,1.4928738216,6.4518,0.6623111306,0.3851015759,0.575811342,3.1378241064,0.0838562542
5,Huntsville,AL,536579,3.1445,2.92491,11.29417,145.23110002,54.2956568416,90.0078874614,0.7810598468,8.0298792895,2.5862558246,1.0594964564,0.21356,2.2171691592,4.9901511281,0.3118601812,30.8985961817,7.6618980845,2.1596294985,1.2462788967,0.5934524695,14.6984738978,0.6301893788,1.5344786743,1.5524199919,1.6075242807,10.4824706044,3.187318341,6.2260959215,3.3961242,2.73795,8.5464392889,1.5698813171,5.0055237369,1.4797446434,5.86051,0.9807263075,0.2769092264,0.917267553,3.1331371307,0.5774233416
6,Mobile,AL,751227,3.67223,4.08717,15.73024,164.0847426728,51.3352596856,111.8201170717,1.0384425561,9.1957955168,5.0342942805,1.9180811895,0.40225,1.9081315271,5.0027855118,0.6510633085,22.8194587093,10.0914259744,3.8354348252,1.2383890463,0.7365825453,18.9691893597,0.785928377,1.7838070415,1.6034559297,3.7927319551,12.4334756812,5.1164585233,7.5932449612,3.4828494009,5.83401,9.5729796913,1.4529952259,7.1319507754,2.368490589,9.14359,1.1259082731,0.3483551037,0.8580478479,3.039406275,0.8335849144
7,Montgomery,AL,426307,3.56487,3.85536,13.53989,142.7094206232,49.5923403413,92.2923347095,0.9088934422,6.0454745142,4.5919337105,1.5653309476,0.02421,1.4674087652,3.8515480445,0.70571093,21.4655617678,11.2376789707,2.3550552152,1.2142836036,0.494739376,19.935906667,1.2610611205,1.4127805475,1.4639536352,1.7792323578,8.8744131316,4.7659434223,6.4070739879,3.1316431848,3.86304,8.2811178932,1.2891751857,4.7380462822,1.496431655,5.69206,0.9121789504,0.753857434,0.8936840067,3.2237053802,0.6845692627
9,Tuscaloosa,AL,235761,3.48129,3.00193,15.0093,156.4247047043,56.6415418689,98.6925037314,0.858431575,4.8542704583,2.8945509283,1.3038872254,0.41455,2.1419726426,4.2414197078,0.4785476666,31.4064198751,8.4799980591,3.0546828284,0.9558816769,1.5346025417,18.3013014351,0.9535814179,0.9158541715,1.5179506163,3.5060473799,7.3590538914,3.3882071889,5.9566451718,2.9508263003,2.55146,6.6574081438,1.8067362734,15.7868553097,2.1707828656,6.66797,0.8792200565,1.7305743412,0.5160815344,2.4710907681,0.0327745011
10,Anchorage,AK,612273,2.67217,3.62357,18.10383,186.9351912073,72.963117955,112.2437241388,0.633319987,9.0372604225,3.1868034711,1.0338004592,0.02046,1.5480475239,7.8384208352,0.6740235851,44.1347588828,10.6254650097,2.0594328465,1.8296069551,0.4793083364,20.570440179,0.8269752092,0.7198315668,0.9767108874,2.0064762767,9.4865626895,6.6038280591,10.0816470119,3.9757118838,2.5403,8.9790002353,1.4963245155,11.4359455261,1.6860785135,7.04448,0.784616873,1.6290852144,0.5265627733,2.9984086917,0.1078767521
11,Mesa,AZ,946270,1.5173,1.86682,6.34778,151.1537786766,52.9602511954,97.2455368002,0.657793669,9.7039078536,4.4086999104,1.1100864223,0.29748,2.2777185034,6.5211552758,0.6565916347,29.444350021,6.5401803536,2.7000113462,1.3441974508,0.6122417644,14.8461219491,0.216614297,1.2491438957,0.9227397646,1.9867207403,10.0422107997,5.3205221579,5.9940150215,2.0081444789,2.46195,8.5893714309,1.7658646906,7.0128838985,2.35938499,5.91443,0.7994963754,0.942251422,0.82084717,2.4601613581,0.2832747794
12,Phoenix,AZ,2429986,2.2047,2.68977,10.59344,177.8661036053,59.4814573798,117.4939960464,1.0205825551,12.4201077095,6.3071523127,1.7405927052,0.47374,2.7719067727,7.2802081838,0.9048036687,31.572226513,7.6077082186,2.6621703375,1.6782549166,0.7604264389,17.9632805419,0.6338059218,1.070460839,1.2677222385,3.3509538508,11.1407937174,5.2495305496,7.2730308475,2.2124579455,3.94609,9.980526993,2.6087235448,9.6968000569,2.8232162349,7.73817,0.899306961,1.3595865053,0.9634251487,2.283708909,0.5011652583
14,Sun City,AZ,184945,2.00494,2.3114,8.51331,200.9915553799,64.3491050648,135.6974468247,1.5577136658,13.5170622566,3.5069328791,0.9865937917,0.41558,4.149075111,6.4120499316,0.7354920965,31.715172283,9.2312493647,2.5717122112,1.2044692203,0.3268351453,20.0276614454,0.8172002698,1.3272235795,1.8545136895,4.3762125909,19.6570888178,7.6984291244,12.1040276772,2.3748580076,5.00108,15.2376614312,3.1676355239,12.3558546774,3.4269744322,7.03987,0.8589104664,2.0130016307,0.9774351343,2.4641330447,0.4900864012
