HSA #,HSA City,State,Resident Population (2010),"Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Hospital-Based Physicians per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","Resident Physicians per 100,000 Residents (2011)","Allergists/ Immunologists per 100,000 Residents (2011)","Anesthesiologists per 100,000 Residents (2011)","Cardiologists per 100,000 Residents (2011)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2011)","Critical Care Physicians per 100,000 Residents (2011)","Dermatologists per 100,000 Residents (2011)","Emergency Medicine Physicians per 100,000 Residents (2011)","Endocrinologists per 100,000 Residents (2011)","Family Practice Physicians per 100,000 Residents (2011)","Geriatricians per 100,000 Residents (2011)","General Surgeons per 100,000 Residents (2011)","Gastroenterologists per 100,000 Residents (2011)","Hematologists/ Oncologists per 100,000 Residents (2011)","Infectious Disease Specialists per 100,000 Residents (2011)","Internal Medicine Physicians per 100,000 Residents (2011)","Neonatologists per 100,000 Residents (2011)","Nephrologists per 100,000 Residents (2011)","Neurosurgeons per 100,000 Residents (2011)","Neurologists per 100,000 Residents (2011)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2011)","Ophthalmologists per 100,000 Residents (2011)","Orthopedic Surgeons per 100,000 Residents (2011)","Otolaryngologists per 100,000 Residents (2011)","Pathologists per 100,000 Residents (2011)","Pediatricians per 100,000 Residents (2011)","Plastic & Reconstructive Surgeons per 100,000 Residents (2011)","Psychiatrists per 100,000 Residents (2011)","Pulmonologists per 100,000 Residents (2011)","Radiologists per 100,000 Residents (2011)","Radiation Oncologists per 100,000 Residents (2011)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2011)","Rheumatologists per 100,000 Residents (2011)","Urologists per 100,000 Residents (2011)","Vascular Surgeons per 100,000 Residents (2011)"
1001,Alabaster,AL,118830,144.91706655,58.049315215,84.495718466,33.096267054,14.663798394,30.801467972,22.253600364,0.2815567088,3.6276259983,6.2726380791,0.9457733852,0.7244201881,1.715918424,5.2207177035,0.4929310214,19.636352357,0.9065646043,5.1345876402,2.4222514619,2.2702260805,1.0838581616,27.542787206,0.3923929672,0.9579605012,1.1300182747,3.2717581508,40.523035547,2.1607894011,5.8780019429,2.2498033634,3.2302346755,11.141575526,1.1573337366,3.7140944177,1.6617527496,4.4966416741,1.6772104327,0.8452531827,1.1981729906,3.4991268,0.1750938074
1002,Alexander City,AL,23298,162.08916437,47.530620243,111.82742524,36.620491403,21.236062231,48.826350997,20.056851707,0.302207965,8.6578352773,13.045885382,1.6394790068,0.7386810666,3.2653097219,5.2645263058,0.3741926619,20.438182382,0.2008054805,10.120742868,3.3559272894,0.7507959349,0.5028326034,16.641058249,0.3088433777,3.2430116523,0.8835163533,1.1360807462,74.465100507,3.8707036556,7.3957429692,3.9120442557,1.7003660098,10.677222549,0.8850725672,2.6750140792,0.4167476263,8.3328368246,0.2755181188,0.9584549558,0.4379776781,4.4644854019,0.3420487314
1003,Andalusia,AL,24474,194.49239068,69.248794964,122.95920289,28.672677439,21.186130889,66.101222387,10.086457323,0.452972469,6.7244868681,3.2023382654,0.7782548713,4.0125502747,1.2103948337,9.4841678321,0.5325643605,38.268716189,0.2795897602,11.773752869,1.252461285,0.9337498625,0.5471700275,17.905797486,0.3086225729,0.7743237578,1.0365257359,1.4401688731,84.517289392,2.5485025929,19.958167628,4.495012019,2.0873752221,13.949755629,1.0126638731,6.8696117816,0.5910271558,20.541457783,0.5192187188,3.4135350803,0.5031242712,4.1520907156,0.5401915264
1004,Anniston,AL,99450,184.38305518,66.170411186,115.88773303,42.790596372,22.484999887,43.378078688,16.023985396,0.8914246241,9.757812348,5.8451306583,2.5309072835,2.0800202531,2.0902194942,4.3524976148,1.7296543653,28.662556286,0.9278040937,7.9458303294,3.6357894608,3.3846656431,1.715003815,24.422103844,0.2343705297,3.4101154678,1.3428923138,2.645814054,54.517906567,3.4406278674,6.2733510372,4.4903879292,2.7321444925,13.14176284,1.277998621,5.1265390908,1.7346374813,6.6171778833,1.649370634,1.3454891093,2.4831293846,3.1268869955,0.8711874381
1006,Ashland,AL,13932,150.57595502,51.08815717,97.41439598,32.074773279,20.580242114,37.875206692,27.58356963,0.3688438953,8.394044271,10.759691019,1.0144925964,1.2627413305,1.4789217411,4.5522124722,0.642778962,24.556370153,0.4726094677,6.5898893691,1.6753851705,1.4131856999,0.6756096332,17.525317981,0.4683175126,1.4133241599,1.1892944758,1.8895994249,59.602525048,3.2666961556,5.9054798363,3.3948278758,2.5410400539,9.0547665542,1.2198689861,4.1743765044,0.6352334584,5.9923700849,0.5544731902,1.1862330797,0.9090381198,2.4290742982,0.5055159491
1007,Athens,AL,73344,158.50837276,56.456846021,99.51213797,34.139659842,21.192913435,38.795982247,5.7887138378,0.3550344714,8.5265627915,2.5380952234,1.249792079,0.5958755513,0.7755917798,8.1345173532,0.11813306,30.873225951,1.2841506936,6.5115094027,1.5335841615,10.634183676,0.505132292,15.722685896,0.2951269313,0.9277684879,0.7584635111,1.1787590636,58.400474486,3.4615325252,5.7654885586,4.3968780158,1.40990191,9.800381312,1.3354846307,3.4244466014,1.6440493645,8.3682165656,0.444102188,1.1942437338,0.31112023,2.5159018492,0.8736844742
1008,Atmore,AL,18116,223.80669004,94.481492584,126.81319322,40.317686036,24.132540735,52.153074716,30.368493192,0.8744875375,10.823514028,5.514419494,0.8707967682,1.7006279979,2.1510197876,9.9831571243,0.9240828122,63.759272659,0.3591619252,7.3394705589,2.6740386647,2.1225977705,1.3592280224,20.295896872,0.9060749601,1.9766029676,2.4275181482,2.5193049493,65.435301326,8.4682412941,6.777427165,3.1207260865,7.8907246371,9.9477899455,1.4072636691,6.5330541882,1.077057808,6.5132563062,0.9756778413,1.6465123828,1.2849097131,6.728499578,0.6207961946
1010,Bessemer,AL,114100,171.20398547,65.451972874,103.36760284,38.553447623,22.776903088,30.426698519,38.762569452,0.5148816076,10.056396114,6.050878715,0.7632358731,1.9313424719,2.6341048754,7.9953855095,0.839222603,24.282442799,0.5905736943,6.1840293526,3.4869083282,2.248681036,0.8490065179,27.505474843,0.7394797255,2.1877355565,1.0989982778,2.8625287012,36.704120261,3.2364133546,5.5541230869,2.9126130094,3.0655549127,13.644891423,1.1199866533,6.796493339,0.9007363367,5.4109258171,0.7940700015,2.1166718581,1.1715826729,1.2461105616,0.2930774953
1011,Birmingham,AL,823493,193.8941654,66.193435156,125.32430453,50.896643292,23.233144574,35.329007924,56.893928494,0.8438076057,9.9490766111,7.8636886085,0.9674011665,2.2573303821,3.5818344046,7.6336730049,1.4991581203,19.45299092,1.0285092666,5.0795110122,3.9758399119,3.0026864214,1.5373230608,30.822902375,1.2564588009,2.9262651872,1.6963946581,5.0041580063,43.888099842,4.2000255416,5.9802081777,3.5907046004,5.1226135026,15.943770078,1.7002470296,10.258677784,1.6223207424,8.9772030659,1.400649143,2.5980277541,2.0822317323,2.0060013503,0.4607487532
1012,Boaz,AL,71039,155.38383125,62.605028798,90.004878488,25.987424314,18.312218945,36.908777222,13.95226153,0.2421377306,6.7580090198,4.4198226559,1.2305144625,0.7702675336,1.095916136,4.1160795414,0.462792696,34.693219749,0.2063472965,6.892040521,1.8313690432,0.8732669203,0.501841879,18.281551859,0.2836472688,0.9917949664,1.0342703208,2.8845825041,55.359277845,2.3295517316,5.4578604781,4.5509905202,1.7764472426,9.9917674179,0.9488007607,6.9712393724,1.7473029065,5.2465027146,1.4619017707,1.2147516117,0.4030039891,2.4956903525,0.494663014
