HSA #,HSA City,State,Resident Population (2010),"Acute Care Hospital Beds per 1,000 Residents (2012)","Hospital-based Registered Nurses per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)"
1001,Alabaster,AL,118830,2.10895485608489,3.74910812659073,10.2591473300708
1002,Alexander City,AL,23298,2.48829572967952,3.98934368687333,16.295040760655
1003,Andalusia,AL,24474,4.19190418283688,4.93100092280656,15.4475832552416
1004,Anniston,AL,99450,3.47124144225381,5.24710420484189,16.3878842166159
1006,Ashland,AL,13932,3.77747214600095,6.21264779136982,20.8196355905384
1007,Athens,AL,73344,2.23930807301076,4.36733439879026,14.9596747313626
1008,Atmore,AL,18116,4.1313280609902,5.83993411302799,16.6179006677121
1010,Bessemer,AL,114100,2.90672352418187,4.49155875522411,14.9255093184765
1011,Birmingham,AL,823493,2.41017673281021,4.81265799573157,14.9406540655764
1012,Boaz,AL,71039,2.8498361146485,4.08277529687621,13.2926744880388
1013,Brewton,AL,23454,3.64728010335239,5.30026572971838,16.6320008372422
1014,Bridgeport,AL,9413,3.929857996176,5.92385408369591,18.2074056875426
1016,Camden,AL,6573,3.9547622546088,4.6091906313668,17.2716707496438
1017,Carrollton,AL,12880,4.17649497452658,6.57936067029368,23.4859392638318
1018,Centre,AL,25989,3.26381088321796,3.69093946841895,14.5695553838741
1019,Centreville,AL,14158,2.81809105776483,4.19768571550958,16.0216804482043
1022,Cullman,AL,82872,1.8398172811867,4.13460779836169,13.1513002853608
1023,Dadeville,AL,7653,4.11873427964747,6.9416380940238,27.6967679371592
1024,Decatur,AL,73306,3.00748284955625,4.5904360175482,16.3639669532422
1025,Demopolis,AL,17137,4.25637578062015,5.70953415957047,21.3528465700801
1026,Dothan,AL,191332,2.4410737506696,3.99772612776724,14.0136609876063
1027,Elba,AL,8767,4.30721897270996,4.85262106754817,23.8215874575544
1028,Enterprise,AL,44550,2.83587565706694,3.92187427374301,12.3052704324946
1029,Eufaula,AL,13785,4.05740076891379,6.20705721352715,20.9337198368739
1031,Evergreen,AL,8246,3.71583000782994,5.04768222861458,17.672536050668
1032,Fairhope,AL,38207,1.3804560615099,2.73214926457149,9.62714688142296
1033,Fayette,AL,12715,3.42261955977301,6.33516097388929,26.2651288707275
1035,Florala,AL,3684,5.65425592311658,6.86933136061998,21.1569682995323
1036,Florence,AL,97988,2.73480375358486,3.41185441910056,12.3140480151633
1037,Foley,AL,58456,2.10314589072368,4.41819255595328,12.9610805219272
1038,Fort Payne,AL,45653,3.08384474521154,4.81689343531616,15.0626123785041
1039,Gadsden,AL,102627,3.93022632048815,5.1994561109459,14.4853702341206
1040,Geneva,AL,16054,3.58880524456617,5.10350410477258,20.5556745063514
1044,Greenville,AL,20947,3.92230488325004,6.8548094931175,22.0819188223686
1045,Grove Hill,AL,7248,2.97947906152694,4.07351105753332,15.1881355432561
1046,Guntersville,AL,35330,3.14667506422848,5.08844409818994,16.551171623636
1047,Haleyville,AL,19529,4.50855511962436,5.70152677322039,18.1753775579855
1048,Hamilton,AL,11835,4.31519274727907,6.20296769670676,24.017387622036
1049,Hartselle,AL,26633,2.40110783983255,4.40323148772586,15.2239795624046
1051,Huntsville,AL,385917,1.93229307085858,4.69740278180689,13.5499717568746
1053,Jacksonville,AL,33552,3.69916702000774,4.88148044672562,15.032482717419
1054,Jasper,AL,62901,4.08762248017592,5.93356680963188,15.8235464364989
1056,Luverne,AL,10078,3.79006022791145,6.29079697176348,23.1849262234755
1057,Mobile,AL,523352,2.61295779689681,4.39391787274508,14.1039525478845
1058,Monroeville,AL,24799,3.28914137027459,5.23797153559281,20.8278554123826
1059,Montgomery,AL,329908,2.19873520353576,3.99416918039788,11.6027842147741
1060,Moulton,AL,43688,2.14109035697766,2.93084326785174,10.6722346787574
1061,Muscle Shoals/Sheffield,AL,49941,4.08172461442882,5.99692370649427,17.5264792551752
1063,Oneonta,AL,25479,2.59572697905242,4.09787288331427,13.0775734789204
1064,Opelika,AL,151032,1.83200843616214,3.55043574867886,14.521888480871
1065,Opp,AL,13454,4.20956067577936,5.07320349535439,18.9013114378322
1066,Ozark,AL,22040,4.3077284382307,6.42782311781775,21.96967607853
1068,Phenix City,AL,74519,2.38722128898371,3.19291446590796,13.2110789075959
1070,Prattville,AL,48916,2.12526897565112,3.27042103666463,9.62337191577535
1071,Red Bay,AL,6678,4.66664347343612,5.39591620099964,18.6681994067039
1072,Roanoke,AL,11781,3.70295396199799,6.19620494899573,24.0117049186956
1073,Russellville,AL,27793,4.75955053576035,4.42817437835038,13.9266234984389
1074,Scottsboro,AL,31428,4.88581617269665,6.42353950534016,20.6614295723848
1075,Selma,AL,60771,3.68197744397912,4.86929387063719,15.3284373547649
1077,Sylacauga,AL,26050,4.575956235989,6.81496689701453,23.9680606620386
1078,Talladega,AL,38162,4.25069502153201,5.37629720248515,17.1155084678903
1079,Tallassee,AL,13878,2.92568641810794,4.42749749083305,16.872104054084
1080,Thomasville,AL,14863,3.92156607229845,5.22692714526784,19.1559287111741
1081,Troy,AL,32899,3.8109356824134,3.61457935158978,14.5468855884392
1082,Tuscaloosa,AL,218391,3.64322277117753,6.21773236460285,20.2012958906125
1083,Union Springs,AL,12664,2.58451695027179,4.26478576136287,14.2071447619237
1084,Valley,AL,23727,4.04613885306753,6.80995103658643,24.1224759472534
1085,Vernon,AL,10402,3.2399454760598,5.2567358208471,19.9320851720404
1086,Wedowee,AL,7517,3.39925824815873,5.12943404994439,21.1265952889808
1088,Winfield,AL,14756,4.36446857528063,6.76481824065559,23.8173987488262
2001,Anchorage,AK,308989,1.51616496223141,3.66006692530937,11.4915013677673
2002,Cordova,AK,2264,6.82480773364659,5.64388999412768,34.0167859098874
2003,Fairbanks,AK,110966,1.89555179294257,3.7753514002834,14.8341369346017
2004,Homer,AK,13938,2.06217625626596,3.83994976809481,17.3126695125829
2005,Juneau,AK,37563,1.82123370579211,4.7247728863149,25.05700494349
2006,Ketchikan,AK,19036,2.56213503552135,8.28855370101519,40.2315484639257
2007,Kodiak,AK,13592,1.22560110103223,5.55973373854067,21.6890440464485
2008,Nome,AK,9492,3.52473359380383,2.93890249900869,68.3068840103224
