HRR #,HRR City,State,Resident Population (2010),"Acute Care Hospital Beds per 1,000 Residents (2012)","Hospital-based Registered Nurses per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)"
1,Birmingham,AL,2266679,2.88172244321322,4.72474770725239,15.1669575861888
2,Dothan,AL,375495,3.00005265825894,4.409134529531,16.6972736977041
5,Huntsville,AL,625318,2.39974433439784,4.87624183844309,14.9703930068063
6,Mobile,AL,835841,2.59365525987232,4.17845250456594,14.2179972805316
7,Montgomery,AL,477536,2.49086966214236,4.14020202826941,12.7778465830488
9,Tuscaloosa,AL,268546,3.59747196981334,6.09253708511824,20.4907343199011
10,Anchorage,AK,710231,1.95250740883057,4.43530241062399,18.7050098786131
11,Mesa,AZ,1383647,1.52143943303963,3.27691107426654,9.15535288886167
12,Phoenix,AZ,3367249,1.81123626188491,3.86848228951567,13.0164420398651
14,Sun City,AZ,299382,1.98538388671295,3.39326949726092,10.7755816422869
15,Tucson,AZ,1220712,1.80033280645148,3.36967591993744,11.0488844107604
16,Fort Smith,AR,376671,2.76882975100307,3.70578422179096,14.3407550457632
18,Jonesboro,AR,238879,2.80067615045118,5.24319458252285,16.3145681975875
19,Little Rock,AR,1562672,2.73440948300413,5.00844278198201,16.2513889041729
21,Springdale,AR,539119,1.73106819360692,3.58165635168552,11.8619102471275
22,Texarkana,AR,265125,2.92899491728167,4.44457550509833,14.2889336929657
23,Orange County,CA,3326926,1.44454352800676,3.1844668998383,10.8494194733212
25,Bakersfield,CA,1162201,1.98414516962657,3.97635652965982,13.0412764603971
31,Chico,CA,298777,1.9278467585973,4.56856206676457,16.726579902228
33,Contra Costa County,CA,1042332,1.36365671914245,3.38681545917643,11.9674355129246
43,Fresno,CA,1243382,2.00691528155585,3.40599075486534,12.5558445289498
56,Los Angeles,CA,9865879,1.84069862919569,3.77139997083577,12.8187014673604
58,Modesto,CA,901675,1.89493522059638,4.49905601487262,13.237605766044
62,Napa,CA,273357,1.86182467265462,4.4971093396307,15.983374520787
65,Alameda County,CA,1539335,1.75077554678137,3.18768944643671,11.7327946064761
69,Palm Springs/Rancho Mirage,CA,347347,1.55787923054595,2.80424791795667,9.63514579657931
73,Redding,CA,344423,1.81022833823226,4.00762227870291,11.8396200054558
77,Sacramento,CA,2599682,1.53815653410857,3.49883150056121,10.7677189226961
78,Salinas,CA,397642,1.72948222476407,3.64128025784157,12.2740584472194
79,San Bernardino,CA,3110629,1.66165171869216,3.65647361241281,12.1615170637378
80,San Diego,CA,3699736,1.4045394474233,3.47095853797509,10.0278738248162
81,San Francisco,CA,1435975,1.73841656297736,3.72311931083095,13.5599957500817
82,San Jose,CA,1760505,1.3008680362982,2.93929660593858,10.6672641785117
83,San Luis Obispo,CA,253919,1.52504960754595,3.28489701627404,8.51859261107165
85,San Mateo County,CA,798280,1.53532642716891,3.51925097432104,12.2450017103693
86,Santa Barbara,CA,439613,1.51259564475913,3.52970924033434,10.2939866916277
87,Santa Cruz,CA,276374,1.52818732657761,2.93901814351557,10.879352045944
89,Santa Rosa,CA,491019,1.31542098462523,2.76493478077464,10.6901796404272
91,Stockton,CA,587662,1.78285267086176,3.47775833433843,13.3539081353229
96,Ventura,CA,856948,1.58577048970619,3.02920115974848,11.6916863425868
101,Boulder,CO,308401,1.25132845075859,3.19229069250287,11.6382513873978
102,Colorado Springs,CO,822312,1.84343112239731,3.31183540733764,12.0780001617968
103,Denver,CO,2854350,1.89616495357768,4.05970136949327,12.419089099858
104,Fort Collins,CO,330625,1.91780239541549,4.05563489889028,14.6798335023923
105,Grand Junction,CO,336195,1.54470888707147,3.50454146193806,13.8649944474455
106,Greeley,CO,362491,1.93222910891927,4.02741099818377,13.5279381383443
107,Pueblo,CO,174412,2.79774063060177,5.20167220541043,18.3087984798476
109,Bridgeport,CT,682523,1.65193150223058,3.2876788758731,12.7484698621556
110,Hartford,CT,1518368,1.71422450944374,3.65828278535628,14.9351429725066
111,New Haven,CT,1473486,1.98512918839697,3.95479105249979,14.8453674088232
112,Wilmington,DE,799415,2.24974286559154,5.68812241154956,20.1223394491244
113,Washington,DC,2619174,1.99980728661467,4.1997522629099,15.4884279402904
115,Bradenton,FL,294147,1.95242704049451,3.03872390225297,9.40042121207807
116,Clearwater,FL,506831,1.84363809991919,2.54645787662594,8.84305270912591
118,Fort Lauderdale,FL,2751603,1.85768569912761,3.03204377964721,9.9412008599611
119,Fort Myers,FL,1181791,1.77382232500531,3.40197136014467,11.1219895745162
120,Gainesville,FL,562745,1.79172821539396,3.65038131320034,12.6291852160357
122,Hudson,FL,406205,2.08990197538515,3.15277623766451,9.81525535497349
123,Jacksonville,FL,1629762,2.26189586735563,4.4012806484825,13.8721151247155
124,Lakeland,FL,379871,2.2163980898622,4.00254877103725,12.3176095224917
127,Miami,FL,3206923,2.40736650812323,3.91491788590793,13.2544540626695
129,Ocala,FL,529541,1.59822292848548,3.26957318498171,10.3754603056004
130,Orlando,FL,3636809,2.01396162749734,4.30419824132696,14.0201829688158
131,Ormond Beach,FL,384147,1.88028378186573,3.30390561188688,13.2792521858355
133,Panama City,FL,217194,2.26332161590108,3.74526706011966,11.3026372733293
134,Pensacola,FL,759479,2.52502130466746,4.31732503790408,12.1590010396903
137,Sarasota,FL,411215,1.64200769634044,2.79971855564509,8.88176807912532
139,St. Petersburg,FL,409711,3.08753008046187,4.67248328967253,15.4769957019016
140,Tallahassee,FL,840531,2.36368459113874,4.36399254889693,15.7191681965487
141,Tampa,FL,1382909,1.95336462260457,4.04107113269856,11.575082738651
142,Albany,GA,217537,2.50115112899221,3.17357994578197,18.3513911375776
144,Atlanta,GA,6245951,1.65627827364369,3.3906294820772,11.8973372781184
145,Augusta,GA,670255,2.52790090322378,4.19347136333818,13.8670351159526
146,Columbus,GA,347403,2.56889376454637,3.24647763808025,13.8990570480237
147,Macon,GA,738696,2.40242550364928,4.67182673234493,16.3333306687418
148,Rome,GA,290619,2.08277673253906,3.55568577628583,16.670126501238
149,Savannah,GA,857892,2.05783378970227,4.13186876673717,14.3254341569263
150,Honolulu,HI,1360301,1.34446686072624,3.00361259403871,10.6850714009488
151,Boise,ID,884532,1.48635012601153,4.08002264203969,18.0665589037817
152,Idaho Falls,ID,234888,2.09547423239565,4.46211280359421,13.9090558259049
154,Aurora,IL,328881,1.34692767624801,3.65504681458697,11.717905799509
155,Blue Island,IL,850865,2.42563167397748,4.8768583824276,16.0966085318942
156,Chicago,IL,2580102,2.93236745632021,5.89050459739519,19.4880638679024
158,Elgin,IL,804491,1.6517005477217,3.80326231056824,10.9817231002962
161,Evanston,IL,911935,1.56279652615194,3.93730134944781,13.4250547625124
163,Hinsdale,IL,475854,1.45935783503228,3.84596440783935,12.1758537354181
164,Joliet,IL,712269,2.11810199564206,4.13487537595211,13.873674052069
166,Melrose Park,IL,1356189,1.94720567643526,4.15065531473374,14.4573433247861
170,Peoria,IL,619115,2.50080561314826,5.25869882648112,18.6312522282824
171,Rockford,IL,725704,2.09271293820348,4.47723033558577,17.0442246247549
172,Springfield,IL,839840,2.54279926224262,4.16445986909093,17.4743560142815
173,Urbana,IL,447652,2.14630884272628,4.60042203386547,16.178386937594
175,Bloomington,IL,205633,1.72367460880196,3.26350666422513,11.7844833488343
179,Evansville,IN,681289,2.5782856552687,5.28281407727627,19.1935278861783
180,Fort Wayne,IN,874115,2.15258659748361,4.27323263377184,13.9160363775445
181,Gary,IN,523706,2.50881177527481,4.41732512915041,16.5188784874044
183,Indianapolis,IN,2852024,2.10399773795507,5.1675949874334,17.9518651694525
184,Lafayette,IN,247432,1.77374680529465,4.33930487697944,15.3419364915462
185,Muncie,IN,166875,2.24473135962035,4.57725588366156,15.4415470791282
186,Munster,IN,323286,2.51275044531212,4.85855414957041,17.6293221001979
187,South Bend,IN,687030,1.89738090192259,3.80468981454032,14.1764053030638
188,Terre Haute,IN,186341,2.46476592600811,4.98565242759651,15.929994287435
190,Cedar Rapids,IA,306104,1.89379656664096,4.73454798141029,17.5402382905595
191,Davenport,IA,493646,2.48930651292903,4.42046919168206,14.7139715111116
192,Des Moines,IA,1093635,2.29463554776157,4.30285681335954,16.2145623888355
193,Dubuque,IA,151837,2.60057820935617,4.30924616247648,14.0581999834394
194,Iowa City,IA,345215,2.27888705479563,4.65884483070113,17.2796849436127
195,Mason City,IA,134425,2.63730187117471,5.22879122657469,20.7096668239683
196,Sioux City,IA,255569,2.56363307588617,5.34262069925899,18.4657775310334
197,Waterloo,IA,213477,2.70762079471024,4.58871597558027,20.2083214041777
200,Topeka,KS,455318,2.62353860863368,4.78821789234644,18.7304759805556
201,Wichita,KS,1270655,2.86977851539268,4.84365078498377,15.812787001254
203,Covington,KY,414106,2.37816684128484,4.1112786597223,13.6909602475353
204,Lexington,KY,1525915,2.73026757701882,4.7383453953662,16.6261517703533
205,Louisville,KY,1764845,2.02760130210663,4.02862149843713,13.0747965571936
207,Owensboro,KY,145206,2.32300802640384,5.37704549648333,18.5677020547446
208,Paducah,KY,375728,3.02700419377652,4.98058437905274,18.0120546836406
209,Alexandria,LA,291127,3.37492719446891,5.04807770170737,18.4666277796496
210,Baton Rouge,LA,943444,2.25608417342301,4.50172947708052,17.0578799138311
212,Houma,LA,273854,2.76669654168654,4.66001236357261,17.7617579887155
213,Lafayette,LA,612379,2.85207645912305,4.59963773936033,16.9823975244071
214,Lake Charles,LA,278164,2.89296648470918,5.26086066529388,18.7871548589319
216,Metairie,LA,458584,2.38308510676143,4.92568834929261,16.3861136245541
217,Monroe,LA,270602,3.66116665981826,5.18144480296178,20.6457021257374
